City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,tchibanga,-2.85,11.0333,294.93,82,4,1.39,GA,1691700588
241,vilyuysk,63.7553,121.6247,286.72,77,11,2.71,RU,1691700333
242,phan thiet,10.9333,108.1,299.36,87,24,4.13,VN,1691700588
243,kinana,14.0361,33.1712,300.63,61,100,4.65,SD,1691700588
244,brady,31.1352,-99.3351,315.57,22,0,3.6,US,1691700588
245,maun,-19.9833,23.4167,291.13,32,0,3.6,BW,1691700588
246,bogale,16.2833,95.4,298.65,93,100,2.11,MM,1691700588
247,pandan,14.0453,124.1694,300.0,84,100,2.78,PH,1691700589
248,walvis bay,-22.9575,14.5053,287.09,94,55,3.6,NA,1691700589
249,manokwari,-0.8667,134.0833,298.45,79,45,1.93,ID,1691700589
250,khandyga,62.6667,135.6,289.55,61,14,1.33,RU,1691700589
251,salinas,36.6777,-121.6555,304.02,65,0,5.14,US,1691700541
252,guixi,28.2886,117.2133,299.2,89,100,1.36,CN,1691700589
253,tofol,5.3248,163.0078,301.67,72,93,2.31,FM,1691700589
254,non sung,15.1801,102.2569,301.58,74,95,4.12,TH,1691700590
255,kataba,13.9833,44.3833,294.8,57,42,1.43,YE,1691700590
256,kupang,-10.1667,123.5833,295.95,82,51,4.28,ID,1691700590
257,kerikeri,-35.2268,173.9474,279.77,94,34,2.28,NZ,1691700517
258,khash,28.2211,61.2158,299.64,18,0,1.47,IR,1691700590
259,gorontalo,0.5412,123.0595,296.45,91,100,2.23,ID,1691700590
260,gamba,-2.65,10.0,295.05,93,11,2.33,GA,1691700590
261,kisangani,0.5167,25.2,297.04,84,100,1.41,CD,1691700591
262,kirensk,57.7853,108.1119,290.28,97,100,2.79,RU,1691700591
263,ekibastuz,51.6667,75.3667,290.76,66,100,7.72,KZ,1691700591
264,klaksvik,62.2266,-6.589,284.66,90,84,6.1,FO,1691700548
265,xinyang,32.1228,114.0656,297.09,90,59,0.32,CN,1691700591
266,island harbour,50.724,-1.2758,292.68,90,19,0.45,GB,1691700591
267,gisborne,-38.6533,178.0042,281.32,73,85,6.81,NZ,1691700591
268,westport,41.1415,-73.3579,297.19,86,100,5.14,US,1691700406
269,new plymouth,-39.0667,174.0833,279.44,65,3,1.72,NZ,1691700456
270,pachino,36.7186,15.0907,297.43,64,0,0.33,IT,1691700592
271,kizel,59.0471,57.6477,284.39,87,48,1.42,RU,1691700592
272,newman,37.3138,-121.0208,308.74,15,1,3.7,US,1691700472
273,port blair,11.6667,92.75,301.17,83,75,2.57,IN,1691700592
274,tura,25.5198,90.2201,297.04,98,100,1.92,IN,1691700524
275,kapa'a,22.0752,-159.319,302.14,76,75,6.69,US,1691700593
276,tabou,4.423,-7.3528,297.43,84,100,4.14,CI,1691700593
277,santa marta de ortigueira,43.6833,-7.85,293.93,82,91,1.66,ES,1691700593
278,fort pierce,27.4467,-80.3256,309.29,74,20,5.14,US,1691700593
279,pitimbu,-7.4706,-34.8086,299.48,79,10,5.87,BR,1691700593
280,midvagur,62.0511,-7.1939,284.61,93,100,6.17,FO,1691700593
281,olyokminsk,60.3736,120.4264,291.48,84,100,1.56,RU,1691700594
282,radomsko,51.0671,19.4448,289.63,56,98,1.19,PL,1691700594
283,mahebourg,-20.4081,57.7,293.85,88,20,1.54,MU,1691700594
284,yala,6.3333,101.25,296.4,96,39,1.31,TH,1691700594
285,chingirlau,51.095,54.0814,295.34,41,0,3.35,KZ,1691700594
286,el nido,11.1858,119.3956,300.92,82,100,5.35,PH,1691700594
287,kuanda,56.3161,116.0806,289.39,95,100,1.73,RU,1691700594
288,toliara,-23.35,43.6667,291.41,66,0,6.92,MG,1691700595
289,keflavik,64.0049,-22.5624,288.1,82,75,3.6,IS,1691700595
290,tolanaro,-25.0319,46.9987,292.19,77,75,3.09,MG,1691700595
291,las cruces,32.3123,-106.7783,311.12,21,0,2.06,US,1691700516
292,marshfield,44.6689,-90.1718,300.06,43,0,4.12,US,1691700494
293,laguna de perlas,12.3429,-83.6712,303.2,76,100,2.84,NI,1691700595
294,iranshahr,27.2025,60.6848,311.34,14,0,4.12,IR,1691700595
295,crucecita,-28.95,-58.9833,296.7,68,100,2.27,AR,1691700596
296,ahar,38.4774,47.0699,296.79,38,0,1.56,IR,1691700596
297,kapuskasing,49.4169,-82.4331,293.2,63,75,5.66,CA,1691700596
298,tual,-5.6667,132.75,298.67,80,70,9.18,ID,1691700596
299,caldwell,43.6629,-116.6874,304.36,31,0,3.6,US,1691700597
300,broken hill,-31.95,141.4333,281.86,67,0,2.95,AU,1691700597
301,palikir - national government center,6.9248,158.1611,297.56,94,75,0.0,FM,1691700597
302,coahuayana de hidalgo,18.7,-103.6583,305.16,63,95,3.04,MX,1691700597
303,carlsbad,33.1581,-117.3506,303.4,77,100,4.12,US,1691700597
304,sao jose da coroa grande,-8.8978,-35.1478,297.04,80,6,3.58,BR,1691700598
305,vila velha,-20.3297,-40.2925,297.12,84,75,5.14,BR,1691700534
306,xining,36.6167,101.7667,290.14,92,97,1.53,CN,1691700479
307,tepetzintla,21.1667,-97.8333,312.13,32,7,3.03,MX,1691700598
308,las terrenas,19.311,-69.5428,303.08,84,75,5.14,DO,1691700598
309,shimoda,34.6667,138.95,299.26,87,16,5.07,JP,1691700512
310,mermoz boabab,14.7065,-17.4758,301.46,74,40,5.14,SN,1691700598
311,yashikira,9.7667,3.4,295.4,95,100,2.23,NG,1691700599
312,east london,-33.0153,27.9116,291.94,70,0,6.27,ZA,1691700307
313,isla del bosque,22.7333,-105.85,303.46,74,98,3.23,MX,1691700599
314,alto piquiri,-24.0281,-53.4406,298.39,50,0,3.87,BR,1691700599
315,zhaotong,27.3167,103.7167,290.21,93,88,0.75,CN,1691700599
316,diego de almagro,-26.3667,-70.05,296.89,17,29,2.25,CL,1691700599
317,cadale,2.7603,46.3222,297.96,84,62,7.85,SO,1691700599
318,saint-louis,16.3333,-15.0,303.87,48,100,8.05,SN,1691700600
319,leava,-14.3,-178.1667,300.89,77,100,4.95,WF,1691700600
320,castillos,-34.1667,-53.8333,288.27,93,100,2.52,UY,1691700600
321,kalmunai,7.4167,81.8167,299.7,80,98,2.43,LK,1691700601
322,flying fish cove,-10.4217,105.6791,296.97,88,100,4.63,CX,1691700601
323,ghadamis,30.1337,9.5007,303.59,19,0,6.11,LY,1691700602
324,elverum,60.8819,11.5623,283.32,91,54,1.16,NO,1691700603
325,miranda,3.2499,-76.2281,304.22,43,68,1.48,CO,1691700370
326,mweka,-4.85,21.5667,297.62,59,48,0.95,CD,1691700603
327,north shore,-36.8,174.75,284.45,71,46,0.89,NZ,1691700604
328,dauphin,51.1494,-100.0502,287.23,94,100,3.09,CA,1691700604
329,arawa,-6.2132,155.5367,297.81,96,100,2.59,PG,1691700605
330,plonsk,52.6235,20.3755,289.17,60,84,1.59,PL,1691700605
331,plastun,44.7561,136.2939,289.76,98,100,2.17,RU,1691700605
332,piti village,13.4626,144.6933,299.64,91,100,5.14,GU,1691700605
333,shibetsu,43.659,145.132,295.46,94,99,5.39,JP,1691700349
334,ulladulla,-35.35,150.4667,280.41,69,0,2.23,AU,1691700395
335,susuman,62.7833,148.1667,286.79,53,6,0.72,RU,1691700606
336,weno,7.4515,151.8468,300.46,75,50,2.19,FM,1691700606
337,catemaco,18.4167,-95.1167,303.42,71,25,1.69,MX,1691700607
338,san martin de los andes,-40.1604,-71.3486,279.06,86,100,11.18,AR,1691700607
339,port moody,49.283,-122.8526,296.13,71,99,2.24,CA,1691700011
340,port nelson,23.6333,-74.8333,302.2,72,97,4.17,BS,1691700607
341,pimentel,-6.8367,-79.9342,298.31,65,75,7.2,PE,1691700607
